
aApiOfClass	name_and_api_of_class
aBookmarkMatchResult	bookmark_match_results
aDirHomeCandidate	candidates_for_user_home_dirs
aDirIncAbsolute	inc_absolute_project_dirs
aDirIncProject	inc_project_dirs
aDocumentFind	find_documents
aDocumentFindModuleWithInterface	find_module_documents_with_interface
aDocumentGrepInDir	grep_documents_in_dir
aFileSourceCode	source_code_files
aMatch	bookmark_matches
aMatchResult	match_results
aMethodCallOf	caller_method_names
aNameBase	base_class_module_names
aNameClassInDir	class_names_in_dir
aNameModuleUse	use_statement_module_names
aNamePackage	package_names
aNameSubVisible	visible_sub_names
aNamedArg	argument_values
aNodeFind	find_nodes
aObjectMethodCallAt	method_call_details
aPluginSyntax	syntax_plugins
addBaseClassNameToGraph	add_base_class_name_to_graph
addSubClassNameToGraph	add_sub_class_name_to_graph
addTimedObject	add_timed_object
# awardScorePoints	award_score_points
# buildBodyRight	build_body_right
cacheGet	get_cache_value
cacheKeyTotal	get_total_cache_key
cacheSet	set_cache_value
# checkTick	check_tick
classAt	class_at
classByName	class_by_name
classNameAt	class_name_at
classOverview	class_overview_string
clearInMemoryDocumentCache	clear_in_memory_document_cache
cloneValuesFrom	clone_values_from
createFileConfigDefault	create_file_config_default
createFileCriticDefault	create_file_critic_default
createPerlySense	create_perly_sense
createProject	create_project
determineLikelyApi	determine_likely_api
determineLikelyApi0	determine_likely_api0
dirExtenal	extenal_dir
dirFindLookingAround	find_dir_by_looking_around
dirHome	user_home_dir
dirHomeCache	user_home_cache_dir
dirHomeLog	user_home_log_dir
dirModule	module_dir
dirProject	project_dir
dirProjectExplicitDir	explicit_project_dir
dirProjectImplicitDir	implicit_project_dir
dirProjectImplicitUse	implicit_use_project_dir
dirRoot	root_dir
# displayLawn	display_lawn
# displayObjectAt	display_object_at
# displayObjectBodyPartAt	display_object_body_part_at
escapeValue	escape_value
fileFindLookingAround	find_file_looking_around
fileFindLookingInInc	find_file_looking_in_inc
fileFindModule	find_module_file
fileFoundInDir	file_found_in_dir
fileFromModule	file_from_module
filePathNormalize	file_path_normalize
findBaseClasses	find_base_classes
flymakeFile	flymake_file
formatOutputDataStructure	format_output_data_structure
formatOutputItem	format_output_item
getKeyPressChar	get_key_press_char
getUserAction	get_user_action
hasBaseClass	has_base_class
isAnythingAt	is_anything_at
isAnythingBlockingAt	is_anything_blocking_at
isEmptyAt	is_empty_at
isFileInProject	is_file_in_project
isLocationOnLawn	is_location_on_lawn
isLocationValidForMove	is_location_valid_for_move
isLocationValidForPlacement	is_location_valid_for_placement
isObjectAt	is_object_at
isObjectLocationValidForPlacement	is_object_location_valid_for_placement
isSubSupported	is_sub_supported
isSubVisible	is_sub_visible
isThereSelfInSubAt	is_there_self_in_sub_at
lengthActual	length_actual
loadConfig	load_config
loadFile	load_file
mergePackageApiWithBase	merge_package_api_with_base
mergeWithBase	merge_with_base
methodCallAt	method_call_at
moduleAt	module_at
moduleMethodCallAt	module_method_call_at
moveForward	move_forward
nameFileConfig	name_file_config
nameFileCritic	name_file_critic
nameVcs	name_vcs
newFindExplicit	new_find_explicit
newFromConfig	new_from_config
newFromFileAt	new_from_file_at
newFromLocation	new_from_location
newFromMatch	new_from_match
newFromName	new_from_name
oBookmarkConfig	o_bookmark_config
oCache	o_cache
oClone	o_clone
oConfig	o_config
oDefinition	o_definition
oDirectionToPrize	o_direction_to_prize
oDocument	o_document
oDocumentFindModule	o_document_find_module
oDocumentParseFile	o_document_parse_file
oHome	o_home
oLocation	o_location
oLocationDocumented	o_location_documented
oLocationEnclosingSub	o_location_enclosing_sub
oLocationMethodDefinitionFromDocument	o_location_method_definition_from_document
oLocationMethodDoc	o_location_method_doc
oLocationMethodDocFromDocument	o_location_method_doc_from_document
oLocationMethodGoTo	o_location_method_go_to
oLocationOfNode	o_location_of_node
oLocationPod	o_location_pod
oLocationRandom	o_location_random
oLocationRenderPodToText	o_location_render_pod_to_text
oLocationSetSub	o_location_set_sub
oLocationSmartDoc	o_location_smart_doc
oLocationSmartGoTo	o_location_smart_go_to
oLocationSub	o_location_sub
oLocationSubAt	o_location_sub_at
oLocationSubDefinition	o_location_sub_definition
oMeta	o_meta
oMove	o_move
oNodeSub	o_node_sub
oPerlySense	o_perly_sense
oPlacePrize	o_place_prize
oProject	o_project
oValidLocationAfterMove	o_valid_location_after_move
objectHasMoved	object_has_moved
oppositeDirection	opposite_direction
packageAt	package_at
parsePackageSetSub	parse_package_set_sub
parsePod	parse_pod
parseRex	parse_rex
parseSourceSetSub	parse_source_set_sub
percentConsistsOf	percent_consists_of
percentSupportedOf	percent_supported_of
placeObjectAt	place_object_at
placeObjectBodyPartAt	place_object_body_part_at
placeObjectOnLawn	place_object_on_lawn
placePrizeOnLawn	place_prize_on_lawn
placeWallOnLawn	place_wall_on_lawn
playSound	play_sound
podFromFile	pod_from_file
possiblyTurnRandomly	possibly_turn_randomly
possiblyTurnTowardsPrize	possibly_turn_towards_prize
prizeWasClaimedBy	prize_was_claimed_by
processFilesInDirs	process_files_in_dirs
raCallSiteForMethod	ra_call_site_for_method
raClassInDirs	ra_class_in_dirs
raClassOverviewShow	ra_class_overview_show
raClassOverviewShowDefault	ra_class_overview_show_default
raDefinition	ra_definition
raDocument	ra_document
raFileProjectOther	ra_file_project_other
raFileTestOther	ra_file_test_other
raItemInNGroups	ra_item_in_n_groups
raLocationPod	ra_location_pod
raLocationSub	ra_location_sub
raMatch	ra_match
raNameModuleBase	ra_name_module_base
raNameModuleUse	ra_name_module_use
raPackage	ra_package
raRexText	ra_rex_text
randomDirection	random_direction
removeObject	remove_object
removeObjectBodyPartAt	remove_object_body_part_at
renameIdentifier	rename_identifier
rhClassBase	class_base_rec
rhClassSub	class_sub_rec
rhConfig	config_rec
rhConfigTypeForFile	config_type_for_file_rec
rhDebugFile	debug_file_rec
rhDirNameClassInNeighbourhood	dir_name_class_in_neighbourhood_rec
rhFileCallerVisualized	file_caller_visualized_rec
rhFileDocumentCache	file_document_cache_rec
rhInfo	info_rec
rhMethodAt	method_at_rec
rhPackageApiLikely	package_api_likely_rec
rhProperty	property_rec
rhQrRex	qr_rex_rec
rhRegexExample	regex_example_rec
rhRowColMethod	row_col_method_rec
rhRowColModule	row_col_module_rec
rhRunFile	run_file_rec
rhRunFile0	run_file0_rec
rhSub	sub_rec
rhSubCovered	sub_covered_rec
rhTokenOfAt	token_of_at_rec
rsSortSub	sort_sub_rs
runGame	run_game
runMain	run_main
runMainMenu	run_main_menu
scoreInterfaceMatch	score_interface_match
selfMethodCallAt	self_method_call_at
setFindProject	set_find_project
showMainMenu	show_main_menu
signatureCall	signature_call
stringSignatureSurveyFromFile	string_signature_survey_from_file
stringSignatureSurveyFromSource	string_signature_survey_from_source
stripTrailingWhitespace	strip_trailing_whitespace
textClassApi	text_class_api
textClassBookmarks	text_class_bookmarks
textClassInheritance	text_class_inheritance
textClassNeighbourhood	text_class_neighbourhood
textClassStructure	text_class_structure
textClassUses	text_class_uses
textCompactGraph	text_compact_graph
textConfigDefault	text_config_default
textCriticDefault	text_critic_default
textFromPod	text_from_pod
textLineWrapped	text_line_wrapped
textRenderTemplate	text_render_template
textTable	text_table
timeInterval	time_interval
turnDifference	turn_difference
widthDisplay	width_display
